,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,100,KI,1583292879,78,3.07,172.79,301.23,6.98
1,Vaini,75,TO,1583292879,74,-21.2,-175.2,302.15,4.6
2,Villarrica,0,PY,1583292957,58,-25.75,-56.43,294.81,0.27
3,Kahului,40,US,1583292695,54,20.89,-156.47,302.15,4.1
4,Port Alfred,0,ZA,1583292599,96,-33.59,26.89,290.93,4.92
5,Bilma,0,NE,1583292957,10,18.69,12.92,292.73,2.74
6,Rtishchevo,100,RU,1583292957,97,52.26,43.79,274.13,2.63
7,Port Lincoln,37,AU,1583292879,63,-34.73,135.87,292.51,4.58
8,Hobart,20,AU,1583292703,45,-42.88,147.33,295.37,5.7
9,Albany,90,US,1583292872,81,42.6,-73.97,283.15,5.7
10,New Norfolk,20,AU,1583292876,45,-42.78,147.06,295.37,5.7
11,Atuona,0,PF,1583292890,74,-9.8,-139.03,300.76,5.72
12,Hithadhoo,43,MV,1583292789,76,-0.6,73.08,301.35,4.97
13,Ushuaia,75,AR,1583292878,62,-54.8,-68.3,285.15,9.8
14,Bambous Virieux,20,MU,1583292885,94,-20.34,57.76,299.82,0.98
15,Te Anau,0,NZ,1583292902,53,-45.42,167.72,282.86,1.32
16,Novy Urengoy,100,RU,1583292958,89,66.08,76.63,267.86,7.5
17,Elko,1,US,1583292958,60,41.0,-115.5,278.15,1.53
18,Rikitea,100,PF,1583292872,80,-23.12,-134.97,299.12,7.72
19,Sompeta,0,IN,1583292959,50,18.93,84.6,299.89,2.79
20,Hong Kong,40,HK,1583292617,73,22.29,114.16,296.48,2.1
21,Saldanha,0,ZA,1583292875,81,-33.01,17.94,291.34,2.94
22,Mataura,1,NZ,1583292871,52,-46.19,168.86,287.59,4.47
23,Cabo San Lucas,3,MX,1583292609,69,22.89,-109.91,290.37,4.02
24,Pisco,100,PE,1583292893,78,-13.7,-76.22,296.15,4.1
25,Ouallam,0,NE,1583292852,11,14.32,2.09,297.83,4.88
26,Tuktoyaktuk,20,CA,1583292873,64,69.45,-133.04,230.15,2.1
27,Williston,1,US,1583292959,84,48.15,-103.62,275.15,5.7
28,Nur-Sultan,39,KZ,1583292861,84,51.18,71.45,259.15,5.0
29,Douglas,90,US,1583292960,34,41.3,-96.17,287.59,6.2
30,San Joaquin,91,VE,1583292960,74,10.26,-67.79,297.96,3.67
31,Thompson,90,CA,1583292875,85,55.74,-97.86,263.15,2.6
32,East London,0,ZA,1583292880,94,-33.02,27.91,293.15,4.1
33,Tasiilaq,100,GL,1583292895,92,65.61,-37.64,271.15,3.6
34,Ahipara,100,NZ,1583292960,91,-35.17,173.17,299.26,0.45
35,Saint-Philippe,40,RE,1583292881,94,-21.36,55.77,300.15,2.6
36,Puerto Ayora,73,EC,1583292872,100,-0.74,-90.35,299.26,0.89
37,Hasaki,75,JP,1583292897,93,35.73,140.83,285.15,3.6
38,Cockburn Town,43,TC,1583292633,80,21.46,-71.14,298.22,9.75
39,Tarko-Sale,100,RU,1583292961,91,64.92,77.78,270.37,3.13
40,Jamestown,90,US,1583292853,97,42.1,-79.24,278.15,4.6
41,Torbay,90,CA,1583292902,100,47.67,-52.73,276.48,8.2
42,Upernavik,100,GL,1583292881,55,72.79,-56.15,244.96,1.06
43,Araguaína,92,BR,1583292961,97,-7.19,-48.21,295.32,1.73
44,Carnarvon,0,AU,1583292907,62,-24.87,113.63,304.15,4.1
45,Srīsailain,64,IN,1583292721,39,16.08,78.87,299.89,1.12
46,Bluff,49,NZ,1583292872,52,-46.6,168.33,287.59,4.47
47,Punta Arenas,20,CL,1583292871,81,-53.15,-70.92,283.15,4.6
48,Pichayevo,100,RU,1583292961,98,53.24,42.2,274.37,2.07
49,Yulara,0,AU,1583292915,29,-25.24,130.99,299.15,3.6
50,Satānā,0,IN,1583292962,57,20.58,74.2,292.16,2.34
51,Deputatsky,0,RU,1583292925,69,69.3,139.9,256.75,1.42
52,Saint George,1,US,1583292754,33,37.1,-113.58,287.15,8.2
53,Tadine,64,NC,1583292962,77,-21.55,167.88,300.73,4.11
54,Jojoima,37,SL,1583292962,94,7.88,-10.79,296.54,0.26
55,Washougal,75,US,1583292962,50,45.58,-122.35,286.15,4.6
56,Arraial do Cabo,74,BR,1583292894,88,-22.97,-42.03,297.11,3.2
57,Dikson,91,RU,1583292888,99,73.51,80.55,249.47,5.07
58,Imuris,84,MX,1583292962,82,30.78,-110.87,282.59,1.68
59,Marzuq,66,YE,1583292880,42,14.4,46.47,288.65,0.51
60,Kabompo,96,ZM,1583292902,98,-13.59,24.2,289.67,1.56
61,Bethel,90,US,1583292902,100,41.37,-73.41,283.71,3.1
62,Yerbogachën,30,RU,1583292963,91,61.28,108.01,260.48,3.52
63,Bredasdorp,0,ZA,1583292845,85,-34.53,20.04,291.48,1.38
64,Sørland,36,NO,1583292919,62,67.67,12.69,274.39,8.85
65,Port Elizabeth,0,ZA,1583292877,93,-33.92,25.57,292.15,2.6
66,Aztec,1,US,1583292963,30,36.82,-107.99,280.15,1.5
67,Busselton,88,AU,1583292873,15,-33.65,115.33,304.82,2.56
68,Shar,39,KZ,1583292963,81,49.59,81.05,262.11,2.27
69,Mbaïki,8,CF,1583292963,71,3.87,17.99,295.91,1.05
70,Saskylakh,100,RU,1583292887,91,71.92,114.08,258.67,2.81
71,Nefteyugansk,75,RU,1583292964,92,61.1,72.6,272.15,8.0
72,Qaanaaq,100,GL,1583292882,96,77.48,-69.36,247.39,0.31
73,Castro,11,BR,1583292876,99,-24.79,-50.01,285.54,1.53
74,The Valley,20,AI,1583292881,73,18.22,-63.06,298.71,3.1
75,Kibala,0,TD,1583292964,17,9.11,18.35,297.26,1.2
76,Nhulunbuy,75,AU,1583292964,66,-12.23,136.77,305.15,7.7
77,Mahibadhoo,100,MV,1583292964,72,3.78,72.97,301.1,4.33
78,Balc,100,RO,1583292964,100,47.28,22.53,282.15,0.5
79,Khatanga,100,RU,1583292877,95,71.97,102.5,258.75,3.01
80,Ancud,88,CL,1583292894,93,-41.87,-73.82,283.15,1.5
81,Tommot,0,RU,1583292965,80,58.96,126.29,258.51,1.81
82,Durant,75,US,1583292898,76,33.99,-96.37,287.59,2.31
83,Marawi,73,PH,1583292878,79,8.0,124.29,300.93,3.13
84,Padang,37,ID,1583292886,65,-0.95,100.35,300.74,1.42
85,Mana,1,GF,1583292879,91,5.66,-53.78,295.47,1.37
86,Richards Bay,0,ZA,1583292901,75,-28.78,32.04,296.81,6.85
87,Klichka,98,RU,1583292965,87,50.45,118.0,259.59,2.46
88,Gejiu,0,CN,1583292965,58,23.31,103.16,290.45,2.0
89,Carutapera,100,BR,1583292965,82,-1.2,-46.02,300.26,6.44
90,Cairns,55,AU,1583292965,62,-16.92,145.77,306.48,3.6
91,Chokurdakh,0,RU,1583292889,79,70.63,147.92,255.19,3.74
92,Darnah,58,LY,1583292966,80,32.77,22.64,289.39,9.37
93,Oyama,75,JP,1583292966,87,36.3,139.8,283.15,5.1
94,Darhan,6,MN,1583292966,76,49.49,105.92,258.61,4.51
95,Lüderitz,0,NA,1583292900,93,-26.65,15.16,292.15,2.6
96,Acapulco de Juárez,5,MX,1583292928,83,16.86,-99.89,300.15,3.6
97,Sajanan,40,TN,1583292966,87,37.06,9.24,288.15,14.4
